WEATHER_TIME,CITY_ID,CITY_NAME,COUNTRY,CITY_LATITUDE,CITY_LONGITUDE,CLOUDS,HUMIDITY,MIN_TEMP,MAX_TEMP,WEATHER,WEATHER_DESC,WIND_DEG,WIND_SPEED
2018-01-27T01:02:19.000Z,5128581,New York,US,40.714272,40.714272,1,55,270.15,275.15,Clear,sky is clear,170,3.6
2018-02-11T16:02:29.000Z,5128581,New York,US,40.714272,40.714272,90,100,279.15,284.15,Rain,moderate rain,50,1.5
2018-02-11T17:05:11.000Z,5128581,New York,US,40.714272,40.714272,90,100,280.15,282.15,Rain,light rain,0,2.1
2018-02-18T04:02:37.000Z,5128581,New York,US,40.714272,40.714272,90,100,273.15,274.15,Snow,snow,20,1.5
2018-02-18T05:04:54.000Z,5128581,New York,US,40.714272,40.714272,90,100,273.15,274.15,Snow,light snow,30,1.5
2018-02-21T15:04:14.000Z,5128581,New York,US,40.714272,40.714272,90,77,284.15,292.15,Mist,mist,250,3.6
2018-02-21T16:03:55.000Z,5128581,New York,US,40.714272,40.714272,75,72,291.15,294.15,Clouds,broken clouds,260,4.6
2018-03-03T20:05:21.000Z,5128581,New York,US,40.714272,40.714272,40,49,279.15,282.15,Clouds,scattered clouds,20,3.6
2018-03-03T21:02:44.000Z,5128581,New York,US,40.714272,40.714272,40,52,279.15,282.15,Clouds,scattered clouds,350,6.7
2018-03-02T12:02:40.000Z,5128581,New York,US,40.714272,40.714272,90,93,275.15,277.15,Rain,heavy intensity rain,0,3.1
2018-03-02T13:05:26.000Z,5128581,New York,US,40.714272,40.714272,90,86,275.15,276.15,Mist,mist,290,4.1
2018-03-08T13:05:32.000Z,5128581,New York,US,40.714272,40.714272,75,86,272.15,275.15,Clouds,broken clouds,306.501,4.04
2018-03-08T14:02:26.000Z,5128581,New York,US,40.714272,40.714272,1,74,272.15,276.15,Clear,sky is clear,300,2.6
2018-03-13T22:05:46.000Z,5128581,New York,US,40.714272,40.714272,1,48,275.15,278.15,Rain,light rain,310,10.8
2018-03-13T23:03:01.000Z,5128581,New York,US,40.714272,40.714272,1,47,275.15,278.15,Clear,sky is clear,300,9.3
2018-03-14T04:05:01.000Z,5128581,New York,US,40.714272,40.714272,1,98,272.15,276.15,Clear,sky is clear,260,3.6
2018-03-14T05:02:47.000Z,5128581,New York,US,40.714272,40.714272,1,97,272.15,275.15,Clear,sky is clear,260,2.6
2018-03-07T21:02:26.000Z,5128581,New York,US,40.714272,40.714272,90,100,273.15,274.15,Snow,heavy snow,360,4.6
2018-03-07T22:05:30.000Z,5128581,New York,US,40.714272,40.714272,90,100,273.15,274.15,Snow,heavy snow,360,9.8
2018-03-28T17:03:16.000Z,5128581,New York,US,40.714272,40.714272,20,70,280.15,282.15,Clouds,few clouds,300,2.6
2018-03-28T18:06:18.000Z,5128581,New York,US,40.714272,40.714272,90,66,281.15,282.15,Clouds,overcast clouds,270,2.6
2018-04-06T03:05:44.000Z,5128581,New York,US,40.714272,40.714272,1,32,271.15,279.15,Clear,sky is clear,0,2.6
2018-04-06T04:02:27.000Z,5128581,New York,US,40.714272,40.714272,1,35,271.15,278.15,Clear,sky is clear,290,1.5
2018-04-11T18:02:30.000Z,5128581,New York,US,40.714272,40.714272,75,31,281.15,283.15,Clouds,broken clouds,0,1.5
2018-04-11T19:05:46.000Z,5128581,New York,US,40.714272,40.714272,90,27,281.15,284.15,Clouds,overcast clouds,0,2.1
2018-04-15T04:02:24.000Z,5128581,New York,US,40.714272,40.714272,90,81,279.15,282.15,Haze,haze,70,7.2
2018-04-15T05:02:37.000Z,5128581,New York,US,40.714272,40.714272,90,75,278.15,281.15,Drizzle,light intensity drizzle,0,3.1
2018-04-24T03:02:22.000Z,5128581,New York,US,40.714272,40.714272,1,57,280.15,284.15,Clear,sky is clear,200,2.1
2018-04-24T04:05:12.000Z,5128581,New York,US,40.714272,40.714272,1,81,280.15,284.15,Clear,sky is clear,167.003,2.86
2018-05-03T15:05:40.000Z,5128581,New York,US,40.714272,40.714272,0,38,298.896,298.896,Clear,Sky is Clear,234.501,2.95
2018-05-03T16:02:36.000Z,5128581,New York,US,40.714272,40.714272,75,31,300.15,305.15,Clouds,broken clouds,230,6.7
2018-05-07T21:05:28.000Z,5128581,New York,US,40.714272,40.714272,40,36,292.15,297.15,Clouds,scattered clouds,50,2.6
2018-05-07T22:02:26.000Z,5128581,New York,US,40.714272,40.714272,75,35,291.15,297.15,Clouds,broken clouds,310,1.5
2018-05-12T11:06:56.000Z,5128581,New York,US,40.714272,40.714272,90,93,283.15,286.15,Rain,moderate rain,60,2.1
2018-05-12T12:02:31.000Z,5128581,New York,US,40.714272,40.714272,90,93,283.15,285.15,Rain,light rain,51.5124,1.96
2018-05-18T08:03:19.000Z,5128581,New York,US,40.714272,40.714272,1,93,289.15,292.15,Fog,fog,342.5,1.55
2018-05-18T09:06:54.000Z,5128581,New York,US,40.714272,40.714272,75,93,289.15,291.15,Mist,mist,342.5,1.55
2018-05-25T21:06:51.000Z,5128581,New York,US,40.714272,40.714272,1,39,298.15,304.15,Clear,sky is clear,0,2.6
2018-05-25T22:02:19.000Z,5128581,New York,US,40.714272,40.714272,75,31,302.15,304.15,Clouds,broken clouds,230,6.2
2018-05-29T21:02:40.000Z,5128581,New York,US,40.714272,40.714272,1,54,297.15,306.15,Clear,sky is clear,0,2.1
2018-05-29T22:05:27.000Z,5128581,New York,US,40.714272,40.714272,1,54,296.15,305.15,Clear,sky is clear,174.001,1.97
2018-06-01T16:02:34.000Z,5128581,New York,US,40.714272,40.714272,75,83,294.15,299.15,Haze,haze,70,4.6
2018-06-01T17:03:06.000Z,5128581,New York,US,40.714272,40.714272,1,69,295.15,300.15,Haze,haze,0,1.5
2018-06-08T08:03:11.000Z,5128581,New York,US,40.714272,40.714272,1,82,284.15,290.15,Clear,sky is clear,0,2.1
2018-06-08T09:06:18.000Z,5128581,New York,US,40.714272,40.714272,1,82,284.15,290.15,Clear,sky is clear,0,1.5
2018-06-06T10:02:19.000Z,5128581,New York,US,40.714272,40.714272,90,63,284.15,289.15,Clouds,overcast clouds,334.001,2.12
2018-06-06T12:02:26.000Z,5128581,New York,US,40.714272,40.714272,90,63,286.15,290.15,Clouds,overcast clouds,0,1.5
2018-06-13T04:05:11.000Z,5128581,New York,US,40.714272,40.714272,1,63,288.15,292.15,Clear,sky is clear,0,2.1
2018-06-13T05:05:44.000Z,5128581,New York,US,40.714272,40.714272,75,63,287.15,292.15,Clouds,broken clouds,0,2.1
2018-06-21T09:07:39.000Z,5128581,New York,US,40.714272,40.714272,90,93,290.15,292.15,Rain,moderate rain,50,5.1
2018-06-21T10:04:25.000Z,5128581,New York,US,40.714272,40.714272,90,93,291.15,292.15,Rain,moderate rain,50,3.6
2018-06-28T21:07:15.000Z,5128581,New York,US,40.714272,40.714272,75,83,296.15,304.15,Rain,light rain,310,6.7
2018-06-28T22:02:20.000Z,5128581,New York,US,40.714272,40.714272,75,94,297.15,304.15,Rain,heavy intensity rain,350,5.1
2018-07-02T09:07:07.000Z,5128581,New York,US,40.714272,40.714272,1,61,292.15,301.15,Mist,mist,234.002,0.97
2018-07-02T10:07:58.000Z,5128581,New York,US,40.714272,40.714272,1,65,291.15,300.15,Mist,mist,234.002,0.97
2018-07-07T09:03:07.000Z,5128581,New York,US,40.714272,40.714272,1,55,286.15,291.15,Clear,sky is clear,0,2.1
2018-07-07T10:07:27.000Z,5128581,New York,US,40.714272,40.714272,1,55,285.15,291.15,Clear,sky is clear,0,2.6
2018-07-13T13:03:33.000Z,5128581,New York,US,40.714272,40.714272,1,57,295.15,299.15,Clear,sky is clear,180.504,1.17
2018-07-13T14:07:47.000Z,5128581,New York,US,40.714272,40.714272,1,47,298.15,300.15,Clear,sky is clear,159,1.86
2018-07-19T01:02:41.000Z,5128581,New York,US,40.714272,40.714272,1,34,295.15,300.15,Clear,sky is clear,0,1.5
2018-07-19T01:02:41.000Z,5128581,New York,US,40.714272,40.714272,1,34,295.15,300.15,Clear,sky is clear,0,1.5
2018-07-21T17:03:22.000Z,5128581,New York,US,40.714272,40.714272,75,53,296.15,298.15,Clouds,broken clouds,60,5.1
2018-07-21T17:03:22.000Z,5128581,New York,US,40.714272,40.714272,75,53,296.15,298.15,Clouds,broken clouds,60,5.1
2018-07-25T03:07:06.000Z,5128581,New York,US,40.714272,40.714272,90,88,297.15,299.15,Rain,light rain,0,2.6
